"Rank in the fifty U.S. states,2017","Rank in all U.S. states and territories, 2010",State or territory,"Population estimate, July 1, 2017[4]","Census population, April 1, 2010",Percent increase from 2010-2017[note 1],"Total seats in the U.S. House of Representatives, 2013–2023","Estimated population per electoral vote, 2017[note 2]","Estimated population per House seat, 2017","Census population per House seat, 2010","Percent of the total U.S. population, 2017[note 3]"
47,49,North Dakota,"755,393","672,591",12.31%,1,"251,798","755,393","672,591",0.23%
48,48,Alaska,"739,795","710,249",4.16%,1,"246,598","739,795","710,249",0.23%
—,51,District of Columbia,"693,972","601,767",15.32%,1 (non-voting),"231,324",—,—,0.21%
49,50,Vermont,"623,657","625,745",-0.33%,1,"207,886","623,657","625,745",0.19%
50,52,Wyoming,"579,315","563,767",2.76%,1,"193,105","579,315","563,767",0.18%
—,53,Guam,"165,718[5]","159,358[6]",3.99%,1 (non-voting),,—,—,0.06%
—,54,U.S. Virgin Islands,"104,914[7]","106,405[8]",-1.40%,1 (non-voting),,—,—,0.04%
—,55,American Samoa,"55,641[9]","55,519[10]",0.22%,1 (non-voting),,—,—,0.01%
—,56,Northern Mariana Islands,"55,194[11]","53,883[12]",2.43%,1 (non-voting),,—,—,0.00%
—,57,Wake Island,100,188,-46.81%,0,,—,—,0.00%
—,58,Palmyra Atoll,20,20,0.00%,0,,—,—,0.00%
—,59,Midway Atoll,40,0,inf,0,,—,—,0.00%
—,—,Johnston Atoll,0,0,0.00%,0,,—,—,0.00%
—,—,Baker Island,0,0,0.00%,0,,—,—,0.00%
—,—,Howland Island,0,0,0.00%,0,,—,—,0.00%
—,—,Jarvis Island,0,0,0.00%,0,,—,—,0.00%
—,—,Kingman Reef,0,0,0.00%,0,,—,—,0.00%
—,—,Navassa Island,0,0,0.00%,0,,—,—,0.00%
—,—,Contiguous United States,"323,551,845","306,687,555",5.50%,432 (+ 1 non-voting),,—,—,98.18%
—,—,The fifty states,"325,025,206","308,156,338",5.47%,435,,"737,348","708,376",98.48%
—,—,Fifty states + D.C.,"325,719,178","308,758,105",5.49%,435 (+ 1 non-voting),,—,—,98.67%
—,—,Total U.S. (including D.C. and territories),"329,431,520","312,913,872",5.28%,435 (+ 6 non-voting),,—,—,100.00%
